Series ID,Units,Gender,Age [years],Disability,Race,Industry and Class of Worker,Educational Attainment,Occupation,Veteran Status,Period of Service,Nativity,Metric,Series Description
LHSD65OW,Percent,Women,≥65,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Women/≥65/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUW65O,Thousands of Persons,Women,≥65,All,All,All,Less than a High School Diploma,All,All,All,All,level,Women/≥65/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD65OW,Percent,Women,≥65,All,All,All,Master's Degree,All,All,All,All,rate,Women/≥65/All/All/All/Master's Degree/All/All/All/All
CGMDUW65O,Thousands of Persons,Women,≥65,All,All,All,Master's Degree,All,All,All,All,level,Women/≥65/All/All/All/Master's Degree/All/All/All/All
CGPD65OW,Percent,Women,≥65,All,All,All,Professional Degree,All,All,All,All,rate,Women/≥65/All/All/All/Professional Degree/All/All/All/All
CGPDUW65O,Thousands of Persons,Women,≥65,All,All,All,Professional Degree,All,All,All,All,level,Women/≥65/All/All/All/Professional Degree/All/All/All/All
SCAD65OW,Percent,Women,≥65,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Women/≥65/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUW65O,Thousands of Persons,Women,≥65,All,All,All,Some College or Associate Degree,All,All,All,All,level,Women/≥65/All/All/All/Some College or Associate Degree/All/All/All/All
TOTLUM2534,Thousands of Persons,Men,25-34,All,All,All,All,All,All,All,All,level,Men/25-34/All/All/All/All/All/All/All/All
TOTLUW2534,Thousands of Persons,Women,25-34,All,All,All,All,All,All,All,All,level,Women/25-34/All/All/All/All/All/All/All/All
CGBD1617,Percent,All,16-17,All,All,All,Bachelor's Degree,All,All,All,All,rate,All/16-17/All/All/All/Bachelor's Degree/All/All/All/All
CGBDU1617,Thousands of Persons,All,16-17,All,All,All,Bachelor's Degree,All,All,All,All,level,All/16-17/All/All/All/Bachelor's Degree/All/All/All/All
HSGS1617,Percent,All,16-17,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"All/16-17/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSU1617,Thousands of Persons,All,16-17,All,All,All,"High School Graduates, No College",All,All,All,All,level,"All/16-17/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD1617,Percent,All,16-17,All,All,All,Less than a High School Diploma,All,All,All,All,rate,All/16-17/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDU1617,Thousands of Persons,All,16-17,All,All,All,Less than a High School Diploma,All,All,All,All,level,All/16-17/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD1617,Percent,All,16-17,All,All,All,Master's Degree,All,All,All,All,rate,All/16-17/All/All/All/Master's Degree/All/All/All/All
CGMDU1617,Thousands of Persons,All,16-17,All,All,All,Master's Degree,All,All,All,All,level,All/16-17/All/All/All/Master's Degree/All/All/All/All
TOTLU3544,Thousands of Persons,All,35-44,All,All,All,All,All,All,All,All,level,All/35-44/All/All/All/All/All/All/All/All
TOTLUM3544,Thousands of Persons,Men,35-44,All,All,All,All,All,All,All,All,level,Men/35-44/All/All/All/All/All/All/All/All
CGBD1617M,Percent,Men,16-17,All,All,All,Bachelor's Degree,All,All,All,All,rate,Men/16-17/All/All/All/Bachelor's Degree/All/All/All/All
CGBDUM1617,Thousands of Persons,Men,16-17,All,All,All,Bachelor's Degree,All,All,All,All,level,Men/16-17/All/All/All/Bachelor's Degree/All/All/All/All
HSGS1617M,Percent,Men,16-17,All,All,All,"High School Graduates, No College",All,All,All,All,rate,"Men/16-17/All/All/All/High School Graduates, No College/All/All/All/All"
HSGSUM1617,Thousands of Persons,Men,16-17,All,All,All,"High School Graduates, No College",All,All,All,All,level,"Men/16-17/All/All/All/High School Graduates, No College/All/All/All/All"
LHSD1617M,Percent,Men,16-17,All,All,All,Less than a High School Diploma,All,All,All,All,rate,Men/16-17/All/All/All/Less than a High School Diploma/All/All/All/All
LHSDUM1617,Thousands of Persons,Men,16-17,All,All,All,Less than a High School Diploma,All,All,All,All,level,Men/16-17/All/All/All/Less than a High School Diploma/All/All/All/All
CGMD1617M,Percent,Men,16-17,All,All,All,Master's Degree,All,All,All,All,rate,Men/16-17/All/All/All/Master's Degree/All/All/All/All
CGMDUM1617,Thousands of Persons,Men,16-17,All,All,All,Master's Degree,All,All,All,All,level,Men/16-17/All/All/All/Master's Degree/All/All/All/All
CGPD1617M,Percent,Men,16-17,All,All,All,Professional Degree,All,All,All,All,rate,Men/16-17/All/All/All/Professional Degree/All/All/All/All
CGPDUM1617,Thousands of Persons,Men,16-17,All,All,All,Professional Degree,All,All,All,All,level,Men/16-17/All/All/All/Professional Degree/All/All/All/All
SCAD1617M,Percent,Men,16-17,All,All,All,Some College or Associate Degree,All,All,All,All,rate,Men/16-17/All/All/All/Some College or Associate Degree/All/All/All/All
SCADUM1617,Thousands of Persons,Men,16-17,All,All,All,Some College or Associate Degree,All,All,All,All,level,Men/16-17/All/All/All/Some College or Associate Degree/All/All/All/All
CGPD1617,Percent,All,16-17,All,All,All,Professional Degree,All,All,All,All,rate,All/16-17/All/All/All/Professional Degree/All/All/All/All
CGPDU1617,Thousands of Persons,All,16-17,All,All,All,Professional Degree,All,All,All,All,level,All/16-17/All/All/All/Professional Degree/All/All/All/All
SCAD1617,Percent,All,16-17,All,All,All,Some College or Associate Degree,All,All,All,All,rate,All/16-17/All/All/All/Some College or Associate Degree/All/All/All/All
SCADU1617,Thousands of Persons,All,16-17,All,All,All,Some College or Associate Degree,All,All,All,All,level,All/16-17/All/All/All/Some College or Associate Degree/All/All/All/All
TOTLUW3544,Thousands of Persons,Women,35-44,All,All,All,All,All,All,All,All,level,Women/35-44/All/All/All/All/All/All/All/All
