series_id,metric,status,warning,expected_obs_count,actual_obs_count,count_match,rows_inserted,fred_message
LNU03035109,level,ok,,315,315,TRUE,315,
LNU04035109,rate,ok,,315,315,TRUE,315,
LNU03028615,level,ok,,598,598,TRUE,598,
LNU04028615,rate,ok,,598,598,TRUE,598,
LNU03035181,level,ok,,598,598,TRUE,598,
LNU04035181,rate,ok,,315,315,TRUE,315,
LNU03032183,level,ok,,315,315,TRUE,315,
LNU04032183,rate,ok,,315,315,TRUE,315,
LNU03000006,level,ok,,651,651,TRUE,651,
LNU04000006,rate,ok,,651,651,TRUE,651,
LNU03073395,level,ok,,231,231,TRUE,231,
LNU04073395,rate,ok,,231,231,TRUE,231,
LNU03000009,level,ok,,637,637,TRUE,637,
LNU04000009,rate,ok,,637,637,TRUE,637,
LNU03032215,level,ok,,315,315,TRUE,315,
LNU04032215,rate,ok,,315,315,TRUE,315,
LNU03000001,level,ok,,939,939,TRUE,939,
LNU04000001,rate,ok,,939,939,TRUE,939,
LNU03073396,level,ok,,231,231,TRUE,231,
LNU04073396,rate,ok,,231,231,TRUE,231,
LNU03073414,level,ok,,231,231,TRUE,231,
LNU04073414,rate,ok,,231,231,TRUE,231,
LNU03073413,level,ok,,231,231,TRUE,231,
LNU04073413,rate,ok,,231,231,TRUE,231,
LNU03032222,level,ok,,315,315,TRUE,315,
LNU04032222,rate,ok,,315,315,TRUE,315,
LNU03032229,level,ok,,939,939,TRUE,939,
LNU04032229,rate,ok,,939,939,TRUE,939,
LNU03032226,level,ok,,315,315,TRUE,315,
LNU04032226,rate,ok,,315,315,TRUE,315,
LNU03032219,level,ok,,315,315,TRUE,315,
LNU04032219,rate,ok,,315,315,TRUE,315,
LNU03032218,level,ok,,315,315,TRUE,315,
LNU04032218,rate,ok,,315,315,TRUE,315,
LNU03000003,level,ok,,867,867,TRUE,867,
LNU04000003,rate,ok,,867,867,TRUE,867,
LNU03000002,level,ok,,939,939,TRUE,939,
LNU04000002,rate,ok,,939,939,TRUE,939,
LNU03073397,level,ok,,231,231,TRUE,231,
LNU04073397,rate,ok,,231,231,TRUE,231,
LNU03073415,level,ok,,231,231,TRUE,231,
LNU04073415,rate,ok,,231,231,TRUE,231,
